name,office,district_type,district_number,district_area,email,phone,website,x_account,facebook_page,level,party,term_start_date,next_election_date,annual_salary
Adrian Madaro,State Representative,District,1,Suffolk,Adrian.Madaro@mahouse.gov,(617) 722-2320,https://malegislature.gov/legislators/profile/acm1,@adrianmadaro,https://www.facebook.com/adrianforrep/,State,Democrat,2017-01-04,2024-11-05,73655
Diana DiZoglio,State Auditor,,,,,(617) 727-2075,https://www.mass.gov/auditor,@DianaDiZoglio,https://www.facebook.com/AuditorMA/,State,Democrat,2023-01-04,2026-11-03,175000
Benjamin Weber,City Councilor,District,6,,benjamin.weber@boston.gov,(617) 635-4220,https://www.boston.gov/city-council-benjamin-weber,@ben4district6,https://www.facebook.com/ben4district6/,Municipal,Nonpartisan,2024-01-01,2025-11-04,103500
Bill Galvin,Secretary of State,,,,cis@sec.state.ma.us,(617) 727-2800,https://www.sec.state.ma.us,@BillGalvin4MA,https://www.facebook.com/BillGalvin4MA/,State,Democrat,1995-01-04,2026-11-03,175000
Cindy Friedman,State Senator,District,4,Middlesex,Cindy.Friedman@masenate.gov,(617) 722-1432,https://malegislature.gov/legislators/profile/csf1,@CindyFriedmanMA (inactive),https://www.facebook.com/CindyFriedmanMA/,State,Democrat,2017-07-13,2024-11-05,73655
Henry Santana,City Councilor,At-Large,,,henry.santana@boston.gov,(617) 635-4309,https://www.boston.gov/city-council-henry-santana,@ClrHenrySantana,https://www.facebook.com/ClrHenrySantana/,Municipal,Nonpartisan,2024-01-01,2025-11-04,103500
Enrique Pepén,City Councilor,District,5,,enrique.pepen@boston.gov,(617) 635-4208,https://www.boston.gov/city-council-enrique-pepen,@EnriquePepen,https://www.facebook.com/councilorenriquejpepen/,Municipal,Nonpartisan,2024-01-01,2025-11-04,103500
Ed Flynn,City Councilor,District,2,,ed.flynn@boston.gov,(617) 635-4211,https://www.boston.gov/city-council-ed-flynn,@EdforBoston,https://www.facebook.com/EdforBoston/,Municipal,Nonpartisan,2014-01-01,2025-11-04,103500
Ed Markey,U.S. Senator,,,,ed_markey@markey.senate.gov,(617) 565-8519,https://www.markey.senate.gov,@EdMarkey,https://www.facebook.com/EdJMarkey/,Federal,Democrat,2013-07-16,2026-11-03,174000
Erin Murphy,City Councilor,At-Large,,,erin.murphy@boston.gov,(617) 635-4217,https://www.boston.gov/city-council-erin-murphy,@ErinforBoston,https://www.facebook.com/ErinforBoston/,Municipal,Nonpartisan,2024-01-01,2025-11-04,103500
John FitzGerald,City Councilor,District,3,,john.fitzgerald@boston.gov,(617) 635-4210,https://www.boston.gov/city-council-john-fitzgerald,,https://www.facebook.com/FitzforBoston/,Municipal,Nonpartisan,2018-01-01,2025-11-04,103500
Gabriela Coletta Zapata,City Councilor,District,1,,gabriela.coletta@boston.gov,(617) 635-4206,https://www.boston.gov/city-council-gabriela-coletta,@Gigi4District1,https://www.facebook.com/gigifordistrictone/,Municipal,Nonpartisan,2020-01-01,2025-11-04,103500
Jessica Giannino,State Representative,District,16,Suffolk,Jessica.Giannino@mahouse.gov,(617) 722-2020,https://malegislature.gov/legislators/profile/jag1,,https://www.facebook.com/JessicaAGiannino/,State,Democrat,2021-01-06,2024-11-05,73655
Jon Santiago,State Representative,District,9,Suffolk, jon.santiago@mahouse.gov,(617) 722-2450,https://malegislature.gov/legislators/profile/jds1,@IamJonSantiago,https://www.facebook.com/jonsantiagoboston/,State,Democrat,2019-01-02,2024-11-05,73655
Julia Mejia,City Councilor,At-Large,,,julia.mejia@boston.gov,(617) 635-4623,https://www.boston.gov/city-council-julia-mejia,@juliaforboston,https://www.facebook.com/JuliaforBoston/,Municipal,Nonpartisan,2020-01-01,2025-11-04,103500
