name,office,district_type,district_number,district_area,email,phone,website,x_account,facebook_page,level,party,term_start_date,next_election_date,annual_salary,bio_summary,education,career_before_office,key_policy_areas,committee_memberships,recent_major_vote,recent_initiative,campaign_promises,responsiveness_score,town_halls_per_year,office_hours
Adrian Madaro,State Representative,District,1,Suffolk,Adrian.Madaro@mahouse.gov,(617) 722-2320,https://malegislature.gov/legislators/profile/acm1,@adrianmadaro,https://www.facebook.com/adrianforrep/,State,Democrat,2017-01-04,2024-11-05,73655,"East Boston native and former Suffolk County prosecutor focused on public safety, economic development, and environmental justice","Suffolk University (BA), Suffolk University Law School (JD)","Suffolk County District Attorney's Office prosecutor, Attorney","Public safety and criminal justice, Economic development, Environmental justice, Transportation, Immigration support",,,,,,,
Diana DiZoglio,State Auditor,,,,,(617) 727-2075,https://www.mass.gov/auditor,@DianaDiZoglio,https://www.facebook.com/AuditorMA/,State,Democrat,2023-01-04,2026-11-03,175000,"Government transparency advocate and former legislator, first woman elected State Auditor focused on accountability and fiscal oversight","Northern Essex Community College (AS), University of Massachusetts Lowell (BA Political Science)","State Senator, State Representative, Legislative aide","Government transparency and accountability, Fiscal oversight and waste reduction, Sexual harassment prevention, Working families support",,,,,,,
Benjamin Weber,City Councilor,District,6,,benjamin.weber@boston.gov,(617) 635-4220,https://www.boston.gov/city-council-benjamin-weber,@ben4district6,https://www.facebook.com/ben4district6/,Municipal,Nonpartisan,2024-01-01,2025-11-04,103500,"Jamaica Plain activist and affordable housing advocate, former nonprofit leader focused on community organizing and tenant rights","Brown University (BA Political Science), Harvard Kennedy School (MPA)","Program Director City Life/Vida Urbana, Tenant rights organizer, Community activist","Affordable housing and tenant rights, Community organizing, Arts and culture preservation, Transit equity, Anti-gentrification",,,,,,,
Bill Galvin,Secretary of State,,,,cis@sec.state.ma.us,(617) 727-2800,https://www.sec.state.ma.us,@BillGalvin4MA,https://www.facebook.com/BillGalvin4MA/,State,Democrat,1995-01-04,2026-11-03,175000,"Longest-serving Secretary of State in Massachusetts history, focused on election integrity, public records access, and historical preservation","Boston College (BA), Suffolk University Law School (JD)","Massachusetts State Representative, Attorney","Election administration and voting rights, Public records and transparency, Historical preservation, Securities regulation, Business registration",,,,,,,
Cindy Friedman,State Senator,District,4,Middlesex,Cindy.Friedman@masenate.gov,(617) 722-1432,https://malegislature.gov/legislators/profile/csf1,@CindyFriedmanMA (inactive),https://www.facebook.com/CindyFriedmanMA/,State,Democrat,2017-07-13,2024-11-05,73655,"Healthcare policy expert and former legislative aide focused on mental health, addiction services, and healthcare access","University of Massachusetts (BA), Northeastern University (graduate studies)","Legislative aide to Senator Ted Kennedy, Healthcare policy advocate","Healthcare access and reform, Mental health and addiction services, Women's health, Insurance reform, Public health",,,,,,,
Henry Santana,City Councilor,At-Large,,,henry.santana@boston.gov,(617) 635-4309,https://www.boston.gov/city-council-henry-santana,@ClrHenrySantana,https://www.facebook.com/ClrHenrySantana/,Municipal,Nonpartisan,2024-01-01,2025-11-04,103500,"Former police officer and community leader focused on public safety and community-police relations, first Latino police officer elected to City Council","Boston State College (BS), Northeastern University (MS Criminal Justice)","Boston Police Officer (25 years), Community liaison, Youth mentor","Public safety and community policing, Community-police relations, Veterans affairs, Youth mentorship, Emergency preparedness",,,,,,,
Enrique Pepén,City Councilor,District,5,,enrique.pepen@boston.gov,(617) 635-4208,https://www.boston.gov/city-council-enrique-pepen,@EnriquePepen,https://www.facebook.com/councilorenriquejpepen/,Municipal,Nonpartisan,2024-01-01,2025-11-04,103500,"First Dominican-American elected to Boston City Council, former public school teacher and community advocate from West Roxbury","UMass Boston (BA History), Boston University School of Education (MEd)","Public school teacher BPS (15 years), High school basketball coach, Community advocate","Education equity and school resources, Youth sports and recreation, Community development, Public safety, Immigration support",,,,,,,
Ed Flynn,City Councilor,District,2,,ed.flynn@boston.gov,(617) 635-4211,https://www.boston.gov/city-council-ed-flynn,@EdforBoston,https://www.facebook.com/EdforBoston/,Municipal,Nonpartisan,2014-01-01,2025-11-04,103500,"South Boston native and former Navy veteran focused on neighborhood preservation, public safety, and veterans affairs","Boston Latin School, various military and professional development programs","US Navy (24 years), Probation Officer Suffolk Superior Court, Clinton Administration Department of Labor legislative affairs specialist","Public safety and community policing, Veterans affairs, Transportation and MBTA improvements, Neighborhood preservation, Labor rights",,,,,,,
Ed Markey,U.S. Senator,,,,ed_markey@markey.senate.gov,(617) 565-8519,https://www.markey.senate.gov,@EdMarkey,https://www.facebook.com/EdJMarkey/,Federal,Democrat,2013-07-16,2026-11-03,174000,"Climate action leader and technology policy expert, co-author of Green New Deal resolution and longtime advocate for nuclear disarmament","Boston College (BA History), Boston College Law School (JD)","US House Representative (1976-2013), Attorney, Community organizer","Climate action and Green New Deal, Technology policy and net neutrality, Nuclear disarmament, Healthcare access, Consumer protection",,,,,,,
Erin Murphy,City Councilor,At-Large,,,erin.murphy@boston.gov,(617) 635-4217,https://www.boston.gov/city-council-erin-murphy,@ErinforBoston,https://www.facebook.com/ErinforBoston/,Municipal,Nonpartisan,2024-01-01,2025-11-04,103500,"South End community leader and former School Committee member focused on education, disability rights, and accessibility","College of the Holy Cross (BA), Boston College Law School (JD)","Attorney disability rights, Boston School Committee member (2018-2023), Community advocate","Education and special education, Disability rights and accessibility, Public transportation access, Healthcare advocacy",,,,,,,
John FitzGerald,City Councilor,District,3,,john.fitzgerald@boston.gov,(617) 635-4210,https://www.boston.gov/city-council-john-fitzgerald,,https://www.facebook.com/FitzforBoston/,Municipal,Nonpartisan,2018-01-01,2025-11-04,103500,"Dorchester native and small business owner focused on economic development and public education, former School Committee member",Boston College (BA Business Administration),"Small business owner (FitzGerald & Associates), Boston School Committee member (2014-2017)","Economic development and small business, Public education and school facilities, Infrastructure improvement, Public safety, Property tax relief",,,,,,,
Gabriela Coletta Zapata,City Councilor,District,1,,gabriela.coletta@boston.gov,(617) 635-4206,https://www.boston.gov/city-council-gabriela-coletta,@Gigi4District1,https://www.facebook.com/gigifordistrictone/,Municipal,Nonpartisan,2020-01-01,2025-11-04,103500,"First Salvadoran-American elected to Boston City Council, East Boston community organizer fighting for environmental justice and affordable housing","UMass Boston (BA Political Science), Suffolk University (MPA Public Administration)","Community organizer East Boston Neighborhood Health Center, Policy analyst Office of Immigrant Advancement","Environmental justice and airport impacts, Affordable housing and anti-displacement, Immigration rights and services, Public health, Community development",,,,,,,
Jessica Giannino,State Representative,District,16,Suffolk,Jessica.Giannino@mahouse.gov,(617) 722-2020,https://malegislature.gov/legislators/profile/jag1,,https://www.facebook.com/JessicaAGiannino/,State,Democrat,2021-01-06,2024-11-05,73655,"Revere native and former city councilor focused on municipal affairs, economic development, and coastal resilience",Suffolk University (BA Political Science),"Revere City Councilor, Municipal government, Community advocate","Municipal government and local aid, Economic development, Coastal resilience and climate adaptation, Public safety, Education support",,,,,,,
Jon Santiago,State Representative,District,9,Suffolk, jon.santiago@mahouse.gov,(617) 722-2450,https://malegislature.gov/legislators/profile/jds1,@IamJonSantiago,https://www.facebook.com/jonsantiagoboston/,State,Democrat,2019-01-02,2024-11-05,73655,"Emergency room physician and former Army Reserve officer focused on public health, healthcare access, and community safety","Harvard College (BA), Harvard Medical School (MD)","Emergency physician Boston Medical Center, Army Reserve officer, Community health advocate","Public health and healthcare access, Community safety and violence prevention, Emergency preparedness, Health equity, Veterans health",,,,,,,
Julia Mejia,City Councilor,At-Large,,,julia.mejia@boston.gov,(617) 635-4623,https://www.boston.gov/city-council-julia-mejia,@juliaforboston,https://www.facebook.com/JuliaforBoston/,Municipal,Nonpartisan,2020-01-01,2025-11-04,103500,"First Latina elected to Boston City Council at-large, mental health advocate and former nonprofit leader focused on youth and families","Boston University (BA Psychology), Suffolk University (MS Mental Health Counseling)","Mental health counselor, Youth program director, Community organizer","Mental health and crisis response, Youth development, Racial equity, Criminal justice reform, Education advocacy",,,,,,,
Liz Breadon,City Councilor,District,9,,liz.breadon@boston.gov,(617) 635-4219,https://www.boston.gov/city-council-liz-breadon,@LizBreadon,https://www.facebook.com/Liz4AB/,Municipal,Nonpartisan,2020-01-01,2025-11-04,103500,"Allston-Brighton community advocate focused on housing, climate, and transportation, former Boston Public Health Commission member","Mount Holyoke College (BA), Harvard School of Public Health (MPH)","Public Health Commission member, Environmental advocate, Community organizer","Climate action and environmental justice, Public health, Affordable housing, Transportation equity, Green infrastructure",,,,,,,
Maura Healey,Governor,,,,,(617) 725-4005,https://www.mass.gov/governor,@MassGovernor,https://www.facebook.com/MAGovernor/,State,Democrat,2023-01-05,2026-11-03,185000,"First openly gay governor and first woman elected Governor of Massachusetts, former Attorney General known for consumer protection and civil rights","Harvard College (BA Government), Harvard Law School (JD)","Massachusetts Attorney General (2015-2023), Civil rights attorney, Professional basketball player overseas","Healthcare access and affordability, Housing and homelessness, Climate action, Education and workforce development, Civil rights and LGBTQ+ equality",,,,,,,
Andrea Campbell,Attorney General,,,,ago@mass.gov,(617) 727-2200,https://www.mass.gov/ag,@MassAGO,https://www.facebook.com/MassAttorneyGeneral/,State,Democrat,2023-01-04,2026-11-03,175000,"First Black woman elected Massachusetts Attorney General, former Boston City Councilor focused on criminal justice reform and civil rights","Princeton University (AB), UCLA School of Law (JD)","Boston City Council President (2018-2022), Deputy legal counsel to Governor Deval Patrick, Corporate attorney","Criminal justice reform, Civil rights and racial equity, Consumer protection, Public corruption, Environmental justice",,,,,,,
Kim Driscoll,Lieutenant Governor,,,,,(617) 725-4005,https://www.mass.gov/lieutenant-governor,@KimDriscollMA,https://www.facebook.com/MassLtGov/,State,Democrat,2023-01-05,2026-11-03,165000,"Former Salem Mayor and municipal government expert, first Lieutenant Governor from North Shore focused on local government and economic development","Suffolk University (BA), Suffolk University Law School (JD)","Salem Mayor (2006-2023), Salem City Councilor, Attorney","Municipal government and local aid, Economic development, Tourism and cultural preservation, Coastal resilience, Small business support",,,,,,,
